question,wiki-url,score 1,score 2,score 3,score 4,answer 1,answer 2,answer 3,answer 4
What is the magnitude of Zeta Leonis?,https://en.wikipedia.org/wiki/Leo_(constellation),medium,medium,medium,medium,3.65,3.65,3.65,3.65
What is the magnitude of 39 Leonis?,https://en.wikipedia.org/wiki/Leo_(constellation),medium,easy,medium,medium,5.8,5.8,5.8,5.8
Which team selected Dempsey in 2004 MLS SuperDraft?,https://en.wikipedia.org/wiki/Clint_Dempsey,medium,medium,medium,medium,New England Revolution,New England Revolution,New England Revolution,New England Revolution
How many international goals did Dempsey socre?,https://en.wikipedia.org/wiki/Clint_Dempsey,medium,medium,medium,medium,57,57,57,57
Who tied Dempsey as the top all-time scorer for United States?,https://en.wikipedia.org/wiki/Clint_Dempsey,hard,hard,hard,hard,Landon Donovan,Landon Donovan,Landon Donovan,Landon Donovan
How many CONCACAF Gold Cups have Dempsey won?,https://en.wikipedia.org/wiki/Clint_Dempsey,hard,hard,hard,hard,3,3,3,three
Which player of Argentina's national team did Dempsey study?,https://en.wikipedia.org/wiki/Clint_Dempsey,hard,hard,hard,hard,Diego Maradona,Diego Maradona,Diego Maradona,Diego Maradona
What was Dempsey's major at Furham University?,https://en.wikipedia.org/wiki/Clint_Dempsey,medium,easy,easy,medium,health and exercise science,health and exercise science,health and exercise science,health and exercise science
When did Dempsey join Tottenham Hotspur?,https://en.wikipedia.org/wiki/Clint_Dempsey,easy,easy,easy,easy,"August 31, 2012","August 31, 2012","August 31, 2012","August 31, 2012"
When did Dempsey re-sign with Fulham on a two-month loan?,https://en.wikipedia.org/wiki/Clint_Dempsey,medium,medium,medium,easy,"December 24, 2013","December 24, 2013","December 24, 2013","December 24, 2013"
How many goals did Dempsey score during the 107 MLS season?,https://en.wikipedia.org/wiki/Clint_Dempsey,easy,easy,easy,easy,12,12,12,12
Which month does Lenoids occur?,https://en.wikipedia.org/wiki/Leo_(constellation),easy,easy,easy,easy,November,November,November,November
Who was the 2nd-century astronomer that descirbed 48 constellations?,https://en.wikipedia.org/wiki/Leo_(constellation),medium,medium,medium,medium,Ptolemy,Ptolemy,Ptolemy,Ptolemy
What is the magnitude of Regulus?,https://en.wikipedia.org/wiki/Leo_(constellation),medium,medium,medium,easy,1.34,1.34,1.34,1.34
Which star is at the opposite end of the constellation to Regulus?,https://en.wikipedia.org/wiki/Leo_(constellation),easy,easy,medium,easy,Beta Leonis,Beta Leonis,Beta Leonis,Beta Leonis
How far is M95 from Earth?,https://en.wikipedia.org/wiki/Leo_(constellation),hard,medium,medium,medium,20 million llight-years,20 million llight-years,20 million llight-years,20 million llight-years
Who killed Humbaba,https://en.wikipedia.org/wiki/Leo_(constellation),medium,medium,medium,medium,Gilgamesh,Gilgamesh,Gilgamesh,Gilgamesh
What factors make Leo one of the most easily recognizable stars?,https://en.wikipedia.org/wiki/Leo_(constellation),hard ,hard ,hard ,hard ,many bright stars and a distinctive shape,many bright stars and a distinctive shape,many bright stars and a distinctive shape,its many bright stars and a distinctive shape that is reminiscent of the crouching lion it depicts
What are members of the Leo triplet?,https://en.wikipedia.org/wiki/Leo_(constellation),hard,hard,hard,hard,"M66, M65 and NGC 3628","M66, M65 and NGC 3628","M66, M65 and NGC 3628","M66, M65 and NGC 3628"
Who placed the Lion in the sky in Greek mythology?,https://en.wikipedia.org/wiki/Leo_(constellation),hard,hard,hard,hard,Zeus,Zeus,Zeus,Zeus
"Who leads Aragorn, Legolas, Gimli, and King ThÈoden to Isengard where they reunite with Merry and Pippin, who helped the Ents destroy Saruman's forces?",http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Easy,Easy,Easy,Easy,Gandalf,Gandalf,Gandalf,Gandalf
"Who deduces Sauron will attack Gondor's capital Minas Tirith, riding there with Pippin?",http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Easy,Easy,Easy,Easy,Gandalf,Gandalf,Gandalf,Gandalf
Who then leaves Frodo to get killed by the giant spider Shelob?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Easy,Easy,Easy,Easy,Gollum,Gollum,Gollum,Gollum
"Having overheard whose plot to regain the Ring, Sam keeps a suspicious eye on him?",http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Medium,Medium,Medium,Medium,Gollum,Gollum,Gollum,Gollum
"Following whose instructions, Pippin secretly lights distress beacons to signal ThÈoden to assemble the Rohirrim for battle while Gandalf helps Faramir and men reach Minas Tirith?",http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Medium,Easy,Medium,Medium,Gandalf,Gandalf,Gandalf,Gandalf
Who manipulates Frodo into leaving Sam behind before they arrive to the tunnel leading to Mordor?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Medium,Easy,Medium,Medium,Gollum,Gollum,Gollum,Gollum
Pippin's search for Merry is digitally revised for what?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Hard,Hard,Hard,Hard,night time environment,A night time environment,For a night time environment,A night time environment
Saruman is stabbed to death by whom?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Hard,Hard,Hard,Hard,Worntongue,Worntongue,Worntongue,Worntongue
What is Frodo's sword called?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Hard,Hard,Hard,Hard,the sting,The Sting,The Sting,The Sting
When was the theatrical edition of the film released?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Easy,Easy,Easy,Easy,38132,38132,38132,38132
What score does the film hold on Metacritic?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Easy,Medium,Easy,Easy,94,94,94 out of 100,94
How many visual effect shots does The Return of the King contain?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Easy,Easy,Easy,Easy,1488,1488,1488,1488
Where did the filming take place?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Medium,Hard,Medium,Medium,New Zealand,New Zealand,New Zealand,New Zealand
When and where was the Battle of the Black Gate was filmed?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Medium,Hard,Medium,Hard,In April at the Rangippo Desert,In April at the Rangippo Desert,In April at the Rangipo Desert,In April at the Rangippo Desert
Frodo Baggins and Samwise Gamgee are led by whom to Minas Morgul?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Medium,Medium,Medium,Medium,Gollum,Gollum,Gollum,Gollum
Which movies hold the record for highest Academy Award totals?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Hard,Hard,Hard,Hard,"The Lord of the Rings: The Return of the King, Titanic and Ben Hur","The Lord of the Rings: The Return of the King, Titanic and Ben Hur","The Lord of the Rings: The Return of the King, Titanic and Ben Hur","The Lord of the Rings: The Return of the King, Titanic and Ben Hur"
Who played the role of Dark Lord Sauron?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Hard,Hard,Hard,Hard,Sala Baker,Sala Baker,Sala Baker,Sala Baker
Which trilogy released after the Lord of the rings trilogy?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Hard,Hard,Hard,Hard,Harry Potter,The Pirates of the Caribbean trilogy OR Harry Potter,The Pirates of the Caribbean trilogy,Harry Potter
Who is crowned King of Gondor?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Easy,Easy,Easy,Easy,Aragorn,Aragorn,Aragorn,Aragorn
How much did the film earn in the United States and Canada?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Easy,Easy,Easy,Medium,377845905,377845905,377845905,26th highest grossing
Who is ThÈoden's niece?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Easy,Easy,Easy,Medium,Eowyn,…owyn,Eowyn,…owyn
What is a former minefield?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Medium,Medium,Medium,Medium,Rangipo Desert,Rangipo Desert,Rangipo Desert,Rangipo Desert
The Return of the King contains how many visual effect shots?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Medium,Medium,Medium,Easy,1488,1488,1488,1488
Who was saddened by Frodo's departure?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Medium,Medium,Medium,Hard,Sam,Sam,Sam,Sam
Which is the twenty-sixth highest-grossing film in US and Canada?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Hard,Hard,Hard,Hard,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
Which film earned $18.2 million on its opening day in 2001?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Hard,Hard,Hard,Hard,The Lord of the Rings: The Fellowship of the Ring ,The Lord of the Rings: The Fellowship of the Ring ,The Lord of the Rings: The Fellowship of the Ring ,Fellowship fo the Ring
Who bites off Frodo's finger?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Hard,Hard,Hard,Hard,Gollum,Gollum,Gollum,Gollum
What year is The Lord of the Rings: The Return of the King from?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Easy,Easy,Easy,Easy,2003,2003,2003,2003
What kind of film is  Lord of the Rings: The Return of the King,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Easy,Medium,Medium,Hard,epic high fantasy,epic high fantasy,epic high fantasy,highest grossing trilogy
Who directed The Lord of the Rings: The Return of the King?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Easy,Medium,Easy,Medium,Peter Jackson,Peter Jackson,Peter Jackson,Peter Jackson
Who leads Frodo and Samwise to Minas Morgul?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Medium,Medium,Medium,Medium,Gollum,Gollum,Gollum,Gollum
How much did The Lord of the Rings: The Return of the King gross?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Medium,Hard,Medium,Medium,$1 billion,$1 billion,$1 billion,$1 billion
How many academy awards did The Lord of the Rings: The Return of the King win?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Medium,Hard,Medium,Hard,11,All 11,All the 11,All the categories
What books is The Lord of the Rings: The Return of the King based on?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Hard,Hard,Hard,Medium,the second and third volumes of J. R. R. Tolkien's The Lord of the Rings,the second and third volumes of J. R. R. Tolkien's The Lord of the Rings,,the second and third volumes of J. R. R. Tolkien's The Lord of the Rings
What rating did The Lord of the Rings: The Return of the King receive on rotten tomatoes?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Hard,Hard,Hard,Hard,"95% ""Fresh""","95% ""Fresh""","95% ""Fresh""",8.7
What films does The Lord of the Rings: The Return of the King share record number of Academy Awards won with?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Hard,Hard,Hard,Hard,Ben-Hur (1959) and Titanic (1997),Titanic and Ben Hur,Ben-Hur,Titanic and Ben Hur
What is in a civil war?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Easy,Easy,Easy,Easy,The galaxy,The galaxy,The galaxy,The galaxy
"Who has the plans, but her ship is captured by Imperial forces under the command of the evil lord Darth Vader?",http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Easy,Easy,Easy,Easy,Princess Leia,Princess Leia,Princess Leia,The rebel leader Princess Leia
Who is Luke Skywalker?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Medium,Medium,Easy,Easy,Mark Hamill,Mark Hamill,Mark Hamill,Mark Hamill
Who views Leia's complete message in which she begs him to take the Death Star plans to her home planet of Alderaan and give them to her father for analysis?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Medium,Medium,Medium,Medium,Obi-Wan,Obi-Wan,Obi-Wan,Obi-Wan
The deal gave Lucas how much to write and direct the film?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Medium,Easy,Medium,Medium,150000,150000,150000,150000
Carrie Fisher was cast under the condition what?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Hard,Medium,Medium,That she needs to lose 10 pounds for the role,That she needs to lose 10 pounds for the role,That she needs to lose 10 pounds for the role,That she needs to lose 10 pounds for the role
When did Lucas formed his own visual effects company Industrial Light & Magic (ILM) after discovering that 20th Century Fox's visual effects department had been disbanded?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Hard,Hard,Hard,1975,1975,1975,1975
"What acted as the rebel base in the film and was filmed in the Mayan temples at Tikal, Guatemala?",http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Hard,Hard,Hard,Yavin 4,Yavin 4,Moon Yavin 4,The moon Yavin 4
"Who was always prepared, always professional, always very kind to the other actors?",http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Hard,Hard,Hard,Alec Guinness,Alec Guinness,Alec Guinness,Alec Guinness
What was Star Wars later retitled as?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Easy,Medium,Easy,Easy,Star Wars Episode IV: A New Hope,Star Wars Episode IV: A New Hope,Star Wars Episode IV: A New Hope,Star Wars Episode IV: A New Hope
The droids were captured by whom?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Easy,Easy,Easy,Medium,Jawa traders,Jawa traders,Jawa traders,Jawa traders
The film's soundtrack was added to the US National Recording Registry how many years later?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Easy,Easy,Easy,Easy,15 years later,15 years,15 years later,15 years
Why does Obi-Wan invite Luke to accompany him to Alderaan?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Medium,Medium,Medium,Medium,To learn the ways of the Force,To learn the ways of the Force,To learn the ways of the Force,To learn the ways of the Force
How much did Star Wars earn in the US?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Medium,Medium,Medium,Medium,$461 million,$461 million,$461 million,$461 million
The rebels analyze the Death Star plans and identify a vulnerable exhaust port that connects to where?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Medium,Medium,Medium,Medium,Station's main reactor,To the station's main reactor,The station's main reactor,To the station's main reactor
Which other film was accused of ruining Hollywood by shifting focus to juvenile fantasy?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Hard,Hard,Hard,Jaws,Jaws,Jaws,Jaws
Who played the role of Darth Vader?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Hard,Hard,Hard,David Prowse,David Prowse,David Prowse,David Prowse
The opening shot of Star Wars is a reference to which previous movie?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Easy,Hard,Hard,Hard,2001: A Space Odyssey,2001: A Space Odyssey,2001: A Space Odyssey,to the scene introducing the interplanetary spacecraft Discovery One in Stanley Kubrick's seminal 1968 film 2001: A Space Odyssey.
Leia awards Luke and Han with medals for what?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Easy,Easy,Easy,Easy,Heroism,Heroism,Heroism,Heroism
When was Star Wars was released theatrically in the United States?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Easy,Easy,Easy,Easy,28270,28270,28270,28270
Who captures the droids?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Easy,Easy,Easy,Easy,Jawa traders,Jawa traders,Jawa traders,Jawa traders
What is the name of Lucas' visual effects company?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Medium,Medium,Medium,Medium,Industrial Light & Magic,Industrial Light & Magic,Industrial Light & Magic,Industrial Light & Magic
When was Industrial Light & Magic formed?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Medium,Medium,Medium,Hard,1975,1975,1975,1975
Who is the nephew of Owen and Beru?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Medium,Medium,Hard,Luke Skywalker,Luke Skywalker,The droids,The droids
Who is Han Solo's sidekick?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Hard,Hard,Medium,Chewebacca,Wookiee,200-year-old Wookiee,200-year-old Wookiee
Who accompanied Lucas in buying the Flash Gordon rights?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Hard,Hard,Hard,Francis Ford Coppola,Francis Ford Coppola,Director Francis Ford Coppola,Director Francis Ford Coppola
"Luke's uncle, Owen, is portrayed by whom? ",http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Hard,Hard,Hard,Phil Brown,Phil Brown,Phil Brown,Phil Brown
How many Academy Award nominations did Star Wars receive,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Easy,Medium,Easy,Easy,10,10,10,ten
What was Star Wars retroactively titled?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Easy,Easy,Easy,Easy,Star Wars: Episode IV ñ A New Hope),,Star Wars: Episode IV ñ A New Hope,
Who are moisture farmers in Star Wars?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Easy,Medium,Easy,Easy,"Owen, Beru and Luke Skywalker",Uncle Owen and Aunt Beru,,Uncle Owen and Aunt Beru
What was Star Wars produced by?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Medium,Medium,Medium,Medium,Lucasfilm,Lucasfilm,Lucasfilm,Lucasfilm
Who is a Wookiee first mate?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Medium,Medium,Medium,Medium,Chewebacca,Chewebacca,Chewebacca,Chewbacca
When was Star Wars released?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Medium,Medium,Medium,Medium,28270,28270,28270,28270
What are the sequels of Star Wars? ,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Medium,Hard,Hard,The Empire Strikes Back (1980) and Return of the Jedi (1983),The Empire Strikes Back (1980) and Return of the Jedi (1983),,The Empire Strikes Back (1980) and Return of the Jedi (1983)
What plans have been stolen?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Hard,Hard,Hard,Galactic Empire's Death Star,Galactic Empire's Death Star,,Galactic Empire's Death Star
What was Star Wars distributed by?,http://en.wikipedia.org/wiki/Star_Wars_Episode_IV:_A_New_Hope,Hard,Hard,Hard,Hard,20th century fox,20th Century Fox,20th Century Fox,20th century fox
Who directed Slumdog Millionaire?,http://en.wikipedia.org/wiki/Slumdog_Millionaire,yantongz,,Easy,Easy,Easy,,Danny Boyle.,Danny Boyle
Why Jamal was detained and tortured by the police?,http://en.wikipedia.org/wiki/Slumdog_Millionaire,yantongz,,Easy,Easy,Easy,,He was suspected of cheating by the police.,The police suspect him of cheating
How many Academy Awards did Slumdog Millionaire win in 2009?,http://en.wikipedia.org/wiki/Slumdog_Millionaire,yantongz,,Easy,Easy,Medium,,Eight.,8
Why Fox Searchlight Pictures didn't win the rights to Slumdog Millionaire?,http://en.wikipedia.org/wiki/Slumdog_Millionaire,yantongz,,Hard,Hard,Hard,,The 2 million dollars offered by Fox SearchLight fell far short of what producer was asking for.,The 2 million dollars offered by Fox SearchLight fell far short of what producer was asking for.
Why Shahrukh Khan turned down the role in Slumdog Millionaire?,http://en.wikipedia.org/wiki/Slumdog_Millionaire,yantongz,,Hard,Medium,Hard,,He did not want to give his audience the impression that the real show was a fraud by playing a fraud host in the movie.,He did not want to give his audience the impression that the real show was a fraud by playing a fraudulent host in the movie
How many Academy Awards was Slumdog Millionaire nominated for in 2009?  ,http://en.wikipedia.org/wiki/Slumdog_Millionaire,,Easy,Easy,Easy,,Ten.,Ten.,10
Why did the police suspect Jamal Malik of cheating?,http://en.wikipedia.org/wiki/Slumdog_Millionaire,,Medium,Easy,Medium,,"Because of the impossibility of a simple ""slumdog"" with very little education knowing all the answers.","Because of the impossibility of a simple ""slumdog"" with very little education knowing all the answers.",The police does not believe he could answer all the questions.
Which movie was frequently compared with Slumdog Millionaire in the Indian media?,http://en.wikipedia.org/wiki/Slumdog_Millionaire,,Medium,Medium,Hard,,Taare Zameen Par (Like Stars on Earth).,Taare Zameen Par.,Taare Zameen Par
Why did Fox and Amazon apologized for?,http://en.wikipedia.org/wiki/Slumdog_Millionaire,,Hard,Medium,Hard,,"The release production was mixed up; some full versions were shipped in rental cases, and some retail versions were missing the extras despite their being listed on the outside of the box.",The release production was mixed up.,The release date is mixed up.
Why did Adoor Gopalakrishnan said  Slumdog Millionaire is very anti-Indian film?,http://en.wikipedia.org/wiki/Slumdog_Millionaire,,Hard,Hard,Hard,,He claimed that All the bad elements of Mumbai commercial cinema are put together and in a very a slick way. And it underlines and endorses what the west thinks about of us. It is falsehood built upon falsehood. And at every turn is fabricated. At every turn it is built on falsehood.,All the bad elements of Mumbai commercial cinema are put together and in a very a slick way.,All the bad elements of Bombay's commercial cinema are put together and in a very slick way. And it underlines and endorses what the West thinks about us. It is falsehood built upon falsehood. And at every turn is fabricated. At every turn it is built on falsehood.
What role did Gary Oldman cast in the film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),yantongz,Easy,Easy,,Easy,Sirius Black,Sirius Black,
Who saved Harry from Dementors?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),yantongz,Easy,Medium,,Easy,Harry himself,Harry Potter,
What can a Patronus spell do?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),yantongz,Medium,Easy,,Easy,Defend against dementors or repels the dementor,Repel the dementor,
"The article mentioned the trio, which group of people formed the trio?",http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),yantongz,Medium,Hard,,Medium,"Harry Potter, Ron Weasley and Hermione Granger","Harry Potter, Ron Weasley and Hermione Granger",
Who are the characters that were not mentioned in the movie but the book?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),yantongz,Medium,Hard,,Hard,"Moony, Wormtail, Padfoot, Prongs, Cho Chang","Marauders, Moony Wormtail, Padfoot, Prongs and Cho Chang",
What year is Harry Potter and the Prisoner of Azkaban set in?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),yantongz,Easy,,Easy,Easy,2004,,2004
How much money in dollars does Harry Potter and the Prisoner of Azkaban make worldwide? ,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),yantongz,Easy,,Easy,Easy,796.7 million dollars,,796.7 million
What does Lupin transform to when the full moon rises?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),yantongz,Easy,,Easy,Easy,Werewolf,,Werewolf
Does CuarÛn use puppetry or CGI to depict the movement of the Dementors?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),yantongz,Medium,,Medium,Medium,CGI,,CGI
Who killed Harry Potterís parents?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),yantongz,Hard,,Hard,Hard,Peter Pettigrew,,Peter Pettigrew
How far is M96 from earth?,http://en.wikipedia.org/wiki/Leo_(constellation),Easy,Easy,medium,easy,20 million light-years,20 million light-years,20 million light years,20 million light-years
Does Leo contain bright stars?,http://en.wikipedia.org/wiki/Leo_(constellation),Easy,Easy,easy,easy,yes,Yes,yes,yes
What is is a blue-white star of magnitude 2.23?,http://en.wikipedia.org/wiki/Leo_(constellation),Easy,Easy,medium,easy,Beta Leonis,Beta Leonis,beta leonis,beta leonis
How old is SDSS J102915+172927?,http://en.wikipedia.org/wiki/Leo_(constellation),Medium,Medium,medium,medium,13 billion years old,13 billion years old,13 billion years old,13 billion years old
Does Leo contain galaxies?,http://en.wikipedia.org/wiki/Leo_(constellation),Medium,Medium,easy,easy,yes,Yes,yes,yes
When do the Leonids occur?,http://en.wikipedia.org/wiki/Leo_(constellation),Easy,Medium,easy,easy,November 14-15,November 14ñ15,november,november 14-15
What was Leo identified as in Greek mythology?,http://en.wikipedia.org/wiki/Leo_(constellation),Medium,Hard,medium,medium,Nemean Lion,Nemean Lion,the Nemean Lion,nemean lion
Who killed the Nemean Lion?,http://en.wikipedia.org/wiki/Leo_(constellation),Medium,Hard,medium,medium,Heracles,Heracles,heracles,heracles
What was the Nemean Lion impervious to?,http://en.wikipedia.org/wiki/Leo_(constellation),Medium,Hard,medium,medium,Any weaponry,Weapons,any weaponry,weaponry
What is the magnitude of Epsilon Leonis?,http://en.wikipedia.org/wiki/Leo_(constellation),Easy,easy,easy,easy,3,3,3.0,3
How many light years away is Tau Leonis?,http://en.wikipedia.org/wiki/Leo_(constellation),Easy,medium,medium,medium,621 Light-Years,621,621,621
What is the brightest star in Leo?,http://en.wikipedia.org/wiki/Leo_(constellation),Easy,medium,medium,medium,Regulus,Regulus,regulus,regulus
Where can hot spots in NGC 2903 be found near?,http://en.wikipedia.org/wiki/Leo_(constellation),Medium,medium,easy,easy,Regions of Star Formation,Regions of Star Formation,regions of star formation,regoins of star formations
What is the normal peak rate for meteor showers?,http://en.wikipedia.org/wiki/Leo_(constellation),Medium,medium,medium,medium,10 meteors per hour,10 meteors per hour,10 meteors per hour,10 meteors per hour
Who placed Leo in the sky?,http://en.wikipedia.org/wiki/Leo_(constellation),Medium,medium,medium,medium,Zeus,Zeus,zeus,zeus
What kind of animal is Bacchus associated with?,http://en.wikipedia.org/wiki/Leo_(constellation),Hard,hard,hard,hard,lion,lion,lion,lion
When do the January Leonids peak?,http://en.wikipedia.org/wiki/Leo_(constellation),Hard,medium,easy,medium,January 1 and 7,January 1 and 7,january 1 and 7,january 1 and 7
How many stars is the sickle marked as?,http://en.wikipedia.org/wiki/Leo_(constellation),Hard,medium,easy,medium,6,6,6,6
When does the Sun appear in the constellation in tropical astrology?,http://en.wikipedia.org/wiki/Leo_(constellation),Easy,medium,medium,easy,July 23 to August 27,July 23 to August 27,july 23 to august 27,July 23 to August 27
What is a United States Navy Crater class cargo ship named after Leo?,http://en.wikipedia.org/wiki/Leo_(constellation),Easy,easy,easy,easy,USS Leonis,USS Leonis ,USS Leonis (AK-128),USS Leonis 
What galaxies are part of the Leo triplet?,http://en.wikipedia.org/wiki/Leo_(constellation),Hard,hard,hard,medium,"M66, M65, NGC3628","M66, M65, NGC3628","m65, m66, ngc3628","M66, M65, NGC 3628"
What star is called Zosma?,http://en.wikipedia.org/wiki/Leo_(constellation),Easy,easy,easy,easy,Delta Leonis,Delta Leonis,Delta Leonis,Delta Leonis
What is to the west of Leo?,http://en.wikipedia.org/wiki/Leo_(constellation),Medium,medium,medium,easy,Cancer,Cancer,cancer,Cancer
